sku,shopify_collection,enriched_title,variant_1_name,variant_1_value,variant_2_name,variant_2_value,enrichment_comments
160-150-016,,BURS-TWO STRIPER - 701,,,,,[MATCH]
160-150-017,,BURS-TWO STRIPER - 724.8C,,,,,[MATCH]
160-150-021,,BURS-TWO STRIPER - 780.9C,,,,,[MATCH]
160-150-022,,BURS-TWO STRIPER - 784.10C,,,,,[MATCH]
160-150-023,,BURS-TWO STRIPER - 790.8C,,,,,[MATCH]
160-150-024,,BURS-TWO STRIPER - L1250,,,,,[MATCH]
160-150-009,,BURS-TWO STRIPER - 283.4C,,,,,[MATCH]
160-150-019,,BURS-TWO STRIPER - 770.8C,,,,,[MATCH]
160-150-018,,BURS-TWO STRIPER - 770.10C,,,,,[MATCH]
160-150-020,,BURS-TWO STRIPER - 770.9C,,,,,[MATCH]
160-150-010,,BURS-TWO STRIPER - 315.1.75C,,,,,[MATCH]
160-150-011,,BURS-TWO STRIPER - 320.2C,,,,,[MATCH]
160-150-007,,BURS- TWO STRIPER - 703.8C,,,,,[MATCH]
160-150-006,,BUR- TWO STRIPER 770.10C (DD),,,,,[MATCH]
160-150-001,,BUR TWO STRIPER 770.10F(DD),,,,,[MATCH]
160-150-004,,BUR TWO STRIPER L514.4C (DD),,,,,[MATCH]
160-150-005,,BUR TWO STRIPER L770.8C (DD),,,,,[MATCH]
160-150-002,,BUR TWO STRIPER 780.9C (DD),,,,,[MATCH]
160-150-003,,BUR TWO STRIPER 799.11C (DD),,,,,[MATCH]
280-140-022,,25 MICRON FILTER ELEMENT,,,,,[INFERRED]
280-110-009,,CASTELLINI BOTTEL CONNECTOR GASKET,,,,,[INFERRED]
280-110-013,,CASTELLINI FIBRE OPTIC BULB-1P,,,,,[INFERRED]
280-110-015,,CASTELLINI FIBRE OPTIC BULB-2P,,,,,[INFERRED]
280-110-011,,CASTELLINI FIBRE OPTIC BULB,,,,,[INFERRED]
280-110-048,,POLYLIGHT LAMP 8V-50W-FR300A07,,,,,[INFERRED]
280-110-066,,SUCTION HOSE D 17-FL0001302,,,,,[INFERRED]
380-110-025,,SCREEN-PRINTED AUTOCLAVEABLE BOTTLE (CASTELLINI),,,,,[INFERRED]
280-110-065,,SUCTION HOSE D 11-FL0001314,,,,,[INFERRED]
560-120-021,,SPARE ROTOR PB FL0001370,,,,,[INFERRED]
280-110-047,,PICOSOLMICROSOL INTERFACE CAB,,,,,[INFERRED]
280-170-002,,NEGATOSCOPE LAMP,,,,,[INFERRED]
280-120-010,,HANDPIECE CONNECTOR 4-WAY GASK,,,,,[INFERRED]
280-110-001,,12V 75W LIGHT BULB,,,,,[INFERRED]
280-110-021,,DISTRIBUTOR SOLENOID VALVE 99,,,,,[INFERRED]
280-110-038,,LAMP BULB 95W 17V,,,,,[INFERRED]
280-110-060,,SHS 1LT.TANK GROUP OCHRE,,,,,[INFERRED]
280-110-074,,2 STAINLESS STEEL PIECE 242J10,,,,,[INFERRED]
280-110-014,,ASPIRATOR-SALIVA EJECTOR BOARD,,,,,[INFERRED]
280-110-072,,BISTABLE CONTROL PC-BOARD,,,,,[INFERRED]
280-110-025,,ELECTRODE TYPE E (FE6001042),,,,,[INFERRED]
280-120-007,,CATTANI ART.16 ADAPTER,,,,,[INFERRED]
280-110-055,,SECTIONAL NOZZLE (95520263),,,,,[INFERRED]
140-120-003,,30PCS MEMBRANE FOR EV DIST.,,,,,[INFERRED]
300-130-001,,SEAT 12152 PEARLY YELLOW,,,,,[INFERRED]
280-110-029,,FRONT CUP-BLACK-686A0100,,,,,[INFERRED]
280-110-033,,HEADREST 12152 PEARLY YELLOW,,,,,[INFERRED]
280-110-016,,BACKREST 12152 PEARLY YELLOW,,,,,[INFERRED]
280-110-054,,SECT.TUBING L1400.SURGYC.MM'15,,,,,[INFERRED]
280-110-030,,FRONT CUP-GREY-686C0190,,,,,[INFERRED]
280-110-043,,O RING 3181-GUARNIZIONE,,,,,[INFERRED]
280-150-003,,IMPLANTOR 2 & 2L CIRCUIT BOARD,,,,,[INFERRED]
580-120-003,,IMPLANTOR L STERIL (F65200000),,,,,[INFERRED]
280-110-035,,INFRARED PHOTO DETECTOR,,,,,[INFERRED]
280-110-044,,"OR 1,78 X 37, 82 EPDM705H BLAC",,,,,[INFERRED]
280-110-026,,ELECTRODE TYPE H (FE6001049),,,,,[INFERRED]
280-110-059,,SHS 1LT.TANK GROUP (97466307),,,,,[INFERRED]
280-110-042,,O RING 127-M5800127,,,,,[INFERRED]
